audio_path,model,true_transcription,predicted_transcription,latency,wer,mer,wil,wip,cer
labs/experiment_dataset/segment_9.wav,whisper_large,this was a visualization done by fernando viegas and martin wattenberg two amazing visualization designers who looked at a weekend 's worth of twitter traffic," This was a visualization done by Fernando Villegas and Martin Wattenberg, two amazing visualization designers, who looked at a weekend's worth of Twitter traffic",85.26178479194641,0.36,0.36,0.5733333333333334,0.42666666666666664,0.06962025316455696
labs/experiment_dataset/segment_8.wav,whisper_large,and that is that the more tightly linked we 've become to each other the harder it is for each of us to remain independent," and that is that the more tightly linked we become to each other, the harder it is for each of us to remain independent.",79.84328603744507,0.12,0.12,0.19333333333333336,0.8066666666666666,0.04918032786885246
labs/experiment_dataset/segment_19.wav,whisper_large,now, Now...,72.94520807266235,1.0,1.0,1.0,0.0,1.3333333333333333
labs/experiment_dataset/segment_18.wav,whisper_large,where one side of this little box if the animal goes there the animal gets a pulse of light in order to make different cells in the brain sensitive to light <unk>," where one side of this little box, if the animal goes there, they only get a pulse of light, and we're going to make different cells in the brain sensitive to light.",81.7331600189209,0.34375,0.3333333333333333,0.52734375,0.47265625,0.1728395061728395
labs/experiment_dataset/segment_3.wav,whisper_large,our scientists then use this to go back to another piece of that tissue and do what 's called laser scanning microdissection <unk> so the technician takes the instructions they scribe along a place there <unk> and then the laser actually cuts," Our scientists then use this to go back to another piece of that tissue and do what's called laser scanning microdissection. So the technician takes the instructions, they scribe along a place there, and then the laser actually cuts.",87.43283104896545,0.23809523809523808,0.23809523809523808,0.37484737484737496,0.625152625152625,0.07024793388429752
labs/experiment_dataset/segment_15.wav,whisper_large,shortly after we published i got a three word text from johannes," Shortly after we published, I got a three-word text from Johannes.",80.71711993217468,0.5,0.5,0.7272727272727273,0.2727272727272727,0.09375
labs/experiment_dataset/segment_14.wav,whisper_large,the people 's report card brings together all this data into a simple framework that we 'll all be familiar with from our school days to hold them to account, The People's Report Card brings together all this data into a simple framework that we'll all be familiar with from our school days to hold them to account.,81.0958800315857,0.26666666666666666,0.26666666666666666,0.42380952380952386,0.5761904761904761,0.044585987261146494
labs/experiment_dataset/segment_2.wav,whisper_large,if you 're into knitting you can find someone who is killing it knitting <unk> and you can you can learn from them <unk> it 's wild and that 's what this whole day is about," If you're into knitting, you can find someone who is killing at knitting. And you can learn from them. It's wild. And that's what this whole day is about.",83.00993204116821,0.5277777777777778,0.5277777777777778,0.7231800766283525,0.27681992337164746,0.18023255813953487
labs/experiment_dataset/segment_0.wav,whisper_large,so throughout this talk i 've mentioned a few times the special case of uganda and the fact that it 's the only country in sub saharan africa with successful prevention it 's been widely," So throughout this talk, I've mentioned a few times the special case of Uganda and the fact that it's the only country in Sub-Saharan Africa with successful prevention.",86.23774576187134,0.42857142857142855,0.42857142857142855,0.5918367346938775,0.40816326530612246,0.15053763440860216
labs/experiment_dataset/segment_16.wav,whisper_large,and where they don 't where they may actually undermine values and attitudes worth caring about but to have this debate," And where they don't, where they may actually undermine values and attitudes worth caring about. But to have this debate,",78.23225688934326,0.2857142857142857,0.2857142857142857,0.4642857142857143,0.5357142857142857,0.05042016806722689
labs/experiment_dataset/segment_17.wav,whisper_large,medicine it 's a pill called bidil to treat heart failure in <unk>, It's a pill called Bidyl to treat heart failure in some patients.,80.46181178092957,0.46153846153846156,0.42857142857142855,0.5897435897435898,0.41025641025641024,0.3939393939393939
labs/experiment_dataset/segment_1.wav,whisper_large,and the house next to it and actually every house on the block on both sides of the street maybe a school thrown in and some you know a church they are just incredibly expensive," and the house next to it, and actually every house on the block, on both sides of the street, maybe a school thrown in, and a church, they're just incredibly expensive.",87.58596992492676,0.3142857142857143,0.3142857142857143,0.4691244239631337,0.5308755760368663,0.12429378531073447
labs/experiment_dataset/segment_5.wav,whisper_large,on the order of two thousand two hundred videos covering everything from basic arithmetic all the way to to vector calculus and some of the stuff that you saw," on the order of 2,200 videos covering everything from basic arithmetic all the way to vector calculus and some of the stuff that you saw.",85.37248420715332,0.20689655172413793,0.20689655172413793,0.2703448275862068,0.7296551724137932,0.17721518987341772
labs/experiment_dataset/segment_13.wav,whisper_large,<unk> salty crispy delicious snacks what 's sitting in the corner of the room makes not a damn bit of difference to your gustatory experience," salty, crispy, delicious snacks, what's sitting in the corner of the room makes not a damn bit of difference to your gustatory experience.",79.32602405548096,0.28,0.28,0.4365217391304348,0.5634782608695652,0.07801418439716312
labs/experiment_dataset/segment_12.wav,whisper_large,<unk> the greatest innovations and developments, of the greatest innovations and developments,75.60614204406738,0.16666666666666666,0.16666666666666666,0.30555555555555547,0.6944444444444445,0.10638297872340426
labs/experiment_dataset/segment_4.wav,whisper_large,<unk> a palestinian worker who spent two decades in israel, a Palestinian worker who spent two decades in Israel.,78.5751097202301,0.3,0.3,0.4555555555555556,0.5444444444444444,0.15517241379310345
labs/experiment_dataset/segment_6.wav,whisper_large,to those who already are allow me to illustrate this point by taking you to this village called budrus, to those who already are. Allow me to illustrate this point by taking you to this village called Budrus.,79.19801020622253,0.15789473684210525,0.15789473684210525,0.29085872576177296,0.709141274238227,0.0392156862745098
labs/experiment_dataset/segment_10.wav,whisper_large,flutes and music led to even more powerful breakthroughs about a thousand, flutes and music led to even more powerful breakthroughs. About a thousand...,74.60490012168884,0.25,0.25,0.4375,0.5625,0.0684931506849315
labs/experiment_dataset/segment_11.wav,whisper_large,we built this model in new york actually," We built this model in New York, actually, on the",76.45060729980469,0.75,0.6,0.8,0.2,0.3
labs/experiment_dataset/segment_7.wav,whisper_large,you can 't buy your way out of suffering or into meaning there is no home big enough to erase the pain that she must have endured, You can't buy your way out of suffering or into meaning. There is no home big enough to erase the pain that she must have endured.,82.93825602531433,0.2222222222222222,0.2222222222222222,0.3717948717948718,0.6282051282051282,0.03875968992248062
